epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,916.485,1.21155,0.9595,1.30052,0.82934,0.72156,0.83121,0.56044,1.24575,0.89312,1.28912,0.0095941,0.0095941,0.0095941
43,937.813,1.21054,0.94901,1.30613,0.85147,0.75599,0.85852,0.58419,1.19334,0.81777,1.26876,0.0095842,0.0095842,0.0095842
44,959.311,1.2086,0.94911,1.30031,0.82631,0.76202,0.84765,0.56828,1.20804,0.86833,1.27441,0.0095743,0.0095743,0.0095743
45,980.94,1.19538,0.92943,1.2981,0.86069,0.74401,0.84962,0.56575,1.2269,0.85299,1.27998,0.0095644,0.0095644,0.0095644
46,1002.41,1.21068,0.95302,1.30549,0.80723,0.77731,0.84314,0.56178,1.26302,0.83216,1.3404,0.0095545,0.0095545,0.0095545
47,1023.94,1.19524,0.94433,1.29869,0.85366,0.76946,0.85207,0.57532,1.20209,0.86559,1.26427,0.0095446,0.0095446,0.0095446
48,1045.44,1.18472,0.93515,1.29135,0.8561,0.76595,0.85768,0.58016,1.16402,0.83857,1.23292,0.0095347,0.0095347,0.0095347
49,1066.92,1.1709,0.9007,1.27444,0.85971,0.7515,0.84102,0.57938,1.19885,0.85783,1.25852,0.0095248,0.0095248,0.0095248
50,1088.43,1.17789,0.90389,1.27144,0.8527,0.76647,0.85811,0.58316,1.18038,0.79207,1.25251,0.0095149,0.0095149,0.0095149
51,1109.83,1.1646,0.90259,1.28085,0.835,0.77844,0.85665,0.57069,1.21052,0.81759,1.2763,0.009505,0.009505,0.009505
52,1131.46,1.1575,0.88248,1.2677,0.87703,0.77695,0.86136,0.59785,1.19968,0.80477,1.25078,0.0094951,0.0094951,0.0094951
53,1153.05,1.15941,0.88621,1.26155,0.86468,0.76525,0.85834,0.59178,1.13403,0.77302,1.2109,0.0094852,0.0094852,0.0094852
54,1174.59,1.16283,0.89769,1.26025,0.89793,0.75065,0.8589,0.58792,1.25165,0.7958,1.30733,0.0094753,0.0094753,0.0094753
55,1196.29,1.15532,0.8908,1.2667,0.86207,0.75788,0.8599,0.58691,1.18291,0.83447,1.23728,0.0094654,0.0094654,0.0094654
56,1218.02,1.15717,0.8788,1.26345,0.86506,0.75449,0.8608,0.59719,1.12181,0.78606,1.21166,0.0094555,0.0094555,0.0094555
57,1239.7,1.14886,0.88901,1.26521,0.84423,0.73653,0.83913,0.58477,1.17292,0.83974,1.24096,0.0094456,0.0094456,0.0094456
58,1261.34,1.14672,0.86965,1.26317,0.85288,0.79641,0.87473,0.61111,1.15299,0.76852,1.237,0.0094357,0.0094357,0.0094357
59,1282.86,1.14665,0.86664,1.26671,0.82829,0.79433,0.86883,0.59779,1.15824,0.77126,1.24783,0.0094258,0.0094258,0.0094258
60,1304.41,1.14539,0.86199,1.26612,0.8497,0.79491,0.8826,0.617,1.18805,0.7845,1.24846,0.0094159,0.0094159,0.0094159
61,1326.11,1.14244,0.85867,1.26449,0.8561,0.81042,0.87726,0.59635,1.15862,0.74998,1.23781,0.009406,0.009406,0.009406
62,1347.74,1.13782,0.85783,1.26256,0.85188,0.77545,0.86582,0.60285,1.15165,0.77774,1.22427,0.0093961,0.0093961,0.0093961
63,1369.25,1.14777,0.86196,1.26193,0.8743,0.81287,0.88851,0.61949,1.1022,0.72062,1.20271,0.0093862,0.0093862,0.0093862
64,1390.8,1.1228,0.84808,1.2502,0.81366,0.82364,0.87208,0.61839,1.12444,0.73094,1.22823,0.0093763,0.0093763,0.0093763
65,1412.38,1.12004,0.83636,1.23998,0.86361,0.79491,0.8836,0.61932,1.11754,0.731,1.21259,0.0093664,0.0093664,0.0093664
66,1434.08,1.11563,0.8428,1.24824,0.86832,0.8024,0.87593,0.61273,1.13426,0.74714,1.21433,0.0093565,0.0093565,0.0093565
67,1455.72,1.11811,0.82501,1.2367,0.88179,0.77246,0.8736,0.61281,1.13261,0.72454,1.20728,0.0093466,0.0093466,0.0093466
68,1477.29,1.11425,0.83241,1.24167,0.87462,0.80411,0.88104,0.62271,1.09667,0.7314,1.18736,0.0093367,0.0093367,0.0093367
69,1498.82,1.12094,0.82033,1.24876,0.83919,0.80838,0.88099,0.6149,1.13971,0.74011,1.22281,0.0093268,0.0093268,0.0093268
70,1520.36,1.11294,0.81603,1.24688,0.84519,0.81287,0.87373,0.6123,1.12614,0.73388,1.20044,0.0093169,0.0093169,0.0093169
71,1541.88,1.11166,0.81189,1.23196,0.86531,0.8009,0.88473,0.62199,1.08552,0.70403,1.19283,0.009307,0.009307,0.009307
72,1563.33,1.09643,0.80192,1.22118,0.87756,0.78328,0.87429,0.62586,1.07155,0.72549,1.17545,0.0092971,0.0092971,0.0092971
73,1584.84,1.09485,0.80296,1.22943,0.86489,0.81138,0.88241,0.6291,1.08499,0.70343,1.18539,0.0092872,0.0092872,0.0092872
74,1606.36,1.07866,0.79593,1.22058,0.89378,0.78743,0.87828,0.62329,1.11438,0.71469,1.20595,0.0092773,0.0092773,0.0092773
75,1627.95,1.08738,0.79429,1.23467,0.8566,0.82268,0.89142,0.63086,1.101,0.69014,1.19131,0.0092674,0.0092674,0.0092674
76,1649.38,1.09823,0.81198,1.21948,0.85446,0.82613,0.89148,0.63711,1.07688,0.67869,1.19104,0.0092575,0.0092575,0.0092575
77,1671.08,1.07968,0.78445,1.2118,0.85809,0.82371,0.88283,0.63358,1.09743,0.72307,1.18703,0.0092476,0.0092476,0.0092476
78,1692.76,1.06758,0.78321,1.21647,0.83531,0.83524,0.89665,0.63795,1.07301,0.68289,1.21456,0.0092377,0.0092377,0.0092377
