epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,630.226,1.20928,0.95618,1.30625,0.84681,0.75898,0.85211,0.57837,1.18574,0.82603,1.26917,0.0091684,0.0091684,0.0091684
44,641.785,1.20499,0.94735,1.30141,0.86955,0.74843,0.85339,0.56104,1.22821,0.87312,1.30513,0.0091486,0.0091486,0.0091486
45,653.412,1.19042,0.92929,1.28848,0.84074,0.77395,0.8555,0.57915,1.22363,0.8244,1.28447,0.0091288,0.0091288,0.0091288
46,664.984,1.20227,0.93345,1.30262,0.849,0.74914,0.84267,0.5576,1.21751,0.84733,1.28309,0.009109,0.009109,0.009109
47,676.479,1.18789,0.9285,1.28868,0.84928,0.74102,0.83918,0.56417,1.18173,0.84925,1.26045,0.0090892,0.0090892,0.0090892
48,688.11,1.18505,0.91561,1.29946,0.89172,0.73952,0.86904,0.60105,1.16404,0.79697,1.2368,0.0090694,0.0090694,0.0090694
49,699.824,1.16276,0.89507,1.27303,0.86414,0.75449,0.84965,0.58948,1.15849,0.82083,1.2352,0.0090496,0.0090496,0.0090496
50,711.38,1.16688,0.89423,1.26711,0.86473,0.77246,0.85928,0.58609,1.15428,0.80475,1.25104,0.0090298,0.0090298,0.0090298
51,723.075,1.15367,0.88241,1.27265,0.83571,0.77994,0.85469,0.58655,1.15777,0.80817,1.23312,0.00901,0.00901,0.00901
52,734.667,1.14085,0.86434,1.25778,0.86061,0.77545,0.86497,0.60169,1.13474,0.77524,1.23629,0.0089902,0.0089902,0.0089902
53,746.401,1.15977,0.86051,1.26198,0.88311,0.73952,0.85687,0.59054,1.18631,0.7988,1.26221,0.0089704,0.0089704,0.0089704
54,758.052,1.16367,0.88108,1.2607,0.83991,0.77757,0.86504,0.60512,1.15027,0.77085,1.22521,0.0089506,0.0089506,0.0089506
55,769.718,1.15251,0.87585,1.26786,0.87524,0.77717,0.87191,0.60041,1.16715,0.81302,1.23825,0.0089308,0.0089308,0.0089308
56,781.439,1.14901,0.87201,1.25818,0.84867,0.77246,0.86,0.59733,1.15378,0.78812,1.23753,0.008911,0.008911,0.008911
57,793.18,1.14771,0.87643,1.26671,0.84718,0.76347,0.8478,0.58752,1.15647,0.79014,1.23578,0.0088912,0.0088912,0.0088912
58,804.754,1.13827,0.85144,1.25978,0.85252,0.76048,0.86792,0.60424,1.12894,0.74611,1.22729,0.0088714,0.0088714,0.0088714
59,816.205,1.13506,0.85968,1.26366,0.86693,0.76497,0.8589,0.59605,1.142,0.7706,1.23973,0.0088516,0.0088516,0.0088516
60,827.734,1.13459,0.84754,1.25254,0.88492,0.77395,0.86827,0.60603,1.13845,0.74648,1.20833,0.0088318,0.0088318,0.0088318
61,839.35,1.13011,0.84385,1.24923,0.85152,0.7485,0.84942,0.59529,1.14705,0.7891,1.23015,0.008812,0.008812,0.008812
62,850.85,1.12497,0.83535,1.25509,0.87119,0.77844,0.86344,0.58691,1.18598,0.77753,1.24976,0.0087922,0.0087922,0.0087922
